Name	Address	Phone Number	Days	Hours	WeatherPermitting?	"Lat,long"	Additional Info	Google Link
Moore Sr Citizens Center	"501 E Main St, Moore, OK 73160"	(405) 799-3130	M-F 8am – 4pm;			"35.3395928,-97.4798581"	Karen Williams; kwilliams@cityofmoore.com	https://goo.gl/maps/joz3HWLqq2gEqr3YA
Muskogee Gospel Rescue Mission	"323 Callahan St, Muskogee, OK 74403"	(918) 682-3489				"35.7478353,-95.3637429"		https://goo.gl/maps/CzpEB8Pppnirxgu47
"Metropolitan Library System - Nicoma Park Library
"	"2240 Overholser Dr, Nicoma Park, OK 73066"	(405) 769-9452	"MON, WED & THUR 9am – 6pm; TUE 9am – 8pm; FRI-SAT 9am – 5pm"			"35.4919618,-97.3248489"		https://g.page/metrolibrarynicomapark?share
Norman Food And Shelter	"201 Reed Ave, Norman, OK 73071"	(405) 360-4954	M-F 8am 4 pm; SAT-SUN 8am – 1pm			"35.2238654,-97.4332258"		https://goo.gl/maps/yV1tXFjvacYnfocdA
Norman Salvation Army 	"318 E Hayes St, Norman, OK 73069"	405) 364-9910				"35.2321676,-97.458253"		https://goo.gl/maps/oNHYm3QY3dksnr5s9
Catholic Charities (Norman Sanctuary)	"425 E Tonhawa St, Norman, OK 73071"	(405) 701-8293				"35.225178,-97.4397459"		https://goo.gl/maps/CbiYtr1o1ZRMMNdq5
Oklahoma City Ronald J. Norick Downtown Library	"300 Park Ave, Oklahoma City, OK 73102"	(405) 231-8650	M-TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.4684557,-97.5186748"		https://goo.gl/maps/bHChHTVpLFy1sh49A
Oklahoma City Downtown Branch YMCA	"1 NW 4th St, Oklahoma City, OK 73102"	(405) 297-7700	M-F 5am – 9pm; SAT 7am – 5pm; SUN 1pm – 5pm			"35.4724191,-97.5128385"		https://goo.gl/maps/qFvojcfTuqsuJUBw6
YMCA Health Living Center	"5520 N Independence Ave, Oklahoma City, OK 73112"	(405) 297-7717	M-F 5:30am – 9pm; SAT 7am – 5:30pm; SUN 1pm – 5:30pm			"35.5266361,-97.5734644"		https://goo.gl/maps/N6bUHN6qSHLud68N8
Oklahoma City Wright Library	"2101 Exchange Ave, Oklahoma City, OK 73108"	(405) 235-5035	"Tu-Th 9:30am-5:30pm, F-Sa 9am-5pm"			"35.4530887,-97.5517482"		https://g.page/metrolibrarywright?share
Oklahoma City Faith Memorial Baptist Church	"3117 N Kelley Ave, Oklahoma City, OK 73111"	(405) 427-6092	M-F 10am – 4pm; SUN 8am – 12:30pm			"35.501106,-97.4945867"		https://goo.gl/maps/AJEaXyco4YyhG8WA8
Oklahoma City Ralph Ellison Library	"2000 NE 23rd St, Oklahoma City, OK 73111"	(405) 424-1437	M-TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 12pm – 6pm			"35.4926779,-97.4760892"		https://g.page/metrolibraryralphellison?share
Crossings Community Center and Clinic	"10255 N Pennsylvania Ave, The Village, OK 73120"	(405) 749-0800	M-F 9am – 5pm			"35.5744819,-97.5502816"		https://goo.gl/maps/9yx42cwNiSSgstue8
Belle Isle Library	"5501 N Villa Ave, Oklahoma City, OK 73112"	(405) 606-3580	M-TH 9am – 9pm; FRI 9am-6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.525573,-97.5569692"		https://goo.gl/maps/3wtp8SoGML1fyvi18
Nothwest OKC Library	"5600 NW 122nd St, Oklahoma City, OK 73142"	(405) 606-3580	M-TH 9am – 9pm; FRI 9am-6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.594165,-97.617908"		https://g.page/metrolibrarynorthwest?share
Oklahoma City North Side Branch YMCA	"10000 N Pennsylvania Ave, The Village, OK 73120"	(405) 751-6363				"35.5724855,-97.548106"		https://goo.gl/maps/xSmiSNghQuw5ksDm8
Homeless Alliance	"1724 NW 4th St, Oklahoma City, OK 73106"	(405) 415-8410	9am – 4pm			"35.4717309,-97.5447526"		https://goo.gl/maps/3V2HHdGRrhC2xNxb6
Oklahoma City Salvation Army	"2808 SE 44th St, Oklahoma City, OK 73129"	(405) 677-4781	6:30PM			"35.4204099,-97.462405"		https://goo.gl/maps/1RM1Vs87eXoeGaSK7
Oklahoma City Capitol Hill Library	"327 SW 27th St, Oklahoma City, OK 73109"	(405) 634-6308	M-TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.438228,-97.519678"		https://g.page/metrolibrarycapitolhill?share
Oklahoma City Warr Acres Library	"5901 NW 63rd St, Warr Acres, OK 73132"	(405) 606 -3521	M -TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.5372622,-97.6216069"		https://g.page/metrolibrarywarracres?share
Rockwell Plaza YMCA	"8300 Glade Ave, Oklahoma City, OK 73132"	(405) 621 -5858	M-TH 5am – 9pm; FRI 5am – 8pm; SAT 7am – 5pm; SUN 1pm – 5pm			"35.5546582,-97.6422942"		https://goo.gl/maps/cW2gNWSAHAnXwi71A
Southern Oaks Library	"6900 S Walker Ave, Oklahoma City, OK 73139"	(405) 631 -4468	M-TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 12pm – 6pm			"35.397253,-97.520442"		https://g.page/metrolibrarysouthernoaks?share
South Center	"1681 SW 86th St, Oklahoma City, OK 73159"	(405) 688-5388	M-F 7am – 5:30pm			"35.3804156,-97.5468727"		https://goo.gl/maps/J8i2BYJzsawEJTxo8
Rockwell Crossing YMCA	"12100 N Rockwell Ave UNIT 6, Oklahoma City, OK 73162"	(405) 728-9622	M-TH 6am – 9pm; FRI 6am – 8pm; SAT 7am – 4pm; SUN 1pm – 5pm			"35.592487,-97.637195"		https://goo.gl/maps/sESVaxtuv4Nd4E2e8
Earlywine Park YMCA 	"11801 S May Ave, Oklahoma City, OK 73170"	(405) 378-0402	M-TH 5am – 10pm; FRI 5am – 7pm; SAT 7am – 4pm; SUN 1pm – 5pm			"35.349746,-97.566403"		https://goo.gl/maps/bi8UuLSmMJcz3tuj7
Almonte Library 	"2914 SW 59th St, Oklahoma City, OK 73119"	(405) 606-3575	M-TH 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.4041858,-97.566459"		https://g.page/metrolibraryalmonte?share
Sapulpa Community Resource Center	"19 N Main St, Sapulpa, OK 74066"					"35.9993046,-96.1139136"		https://goo.gl/maps/AYJrnmgFoAQKS5JW9
Sapulpa Public Library	"27 W Dewey Ave, Sapulpa, OK 74066"	(918) 224-5624	M-Th 9am-7pm; F 9am-5pm; Sat. 10am-2pm			"35.9988354,-96.117421"		https://goo.gl/maps/ks7XM1v4t8AuTDZt5
The Salvation Army	"1721 S Hickory St, Sapulpa, OK 74066"	(918) 224-4415	M-F 6am-Noon & 1pm-6pm			"35.977832,-96.1172341"		https://goo.gl/maps/eBjp1Zka5Kk9XKVs6
Sapulpa Elks Lodge	"24 S Poplar St, Sapulpa, OK 74066"	(918) 224-1118				"35.9976638,-96.1158771"		https://goo.gl/maps/8hxUeXfmJgJ31i9s5
Reynolds Wellness Center	"1001 Ew Hwy 123, Seminole, OK 74868"	(405) 220-4207	Closes 9pm			"35.2313295,-96.6590077"		https://goo.gl/maps/JLrbBG41QezoSup9A
Seminole City Hall	"401 N Main St, Seminole, OK 74868"	(405) 382-4330	Closes 5pm			"35.2266997,-96.6775428"		https://goo.gl/maps/qQw48FKcY58dVqeA8
Seminole Seminole Fire Station	"900 N Harvey Rd # A, Seminole, OK 74868"		1d			"35.2316314,-96.652702"		https://goo.gl/maps/q6vETH4NTcemcuvT8
C3 Church Gym	"329 N Pesotum Ave, Shawnee, OK 74801"	(405) 275-4330	TUE-FRI 8am – 6pm (Pets welcome)			"35.3311708,-96.9030543"		https://goo.gl/maps/zFnPLg767esJtLmJ7
Mary Parker Memorial Library	"500 W Broadway Ave, Sulphur, OK 73086"		11:30am – 5pm			"34.5067529,-96.9740585"		https://g.page/Parker-Memorial-Library-Sulphur?share
The Village Library	"10307 N Pennsylvania Ave, The Village, OK 73120"	(405) 755-0710	MON-THUR 9am – 9pm; FRI 9am – 6pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.5755065,-97.5498468"		https://g.page/metrolibrarythevillage?share
Johnston County Library	"116 W Main St, Tishomingo, OK 73460"	(580) 371-3006				"34.2350142,-96.6827407"		https://goo.gl/maps/f3eKacRXTkhEfTEK6
The Salvation Army Center of Hope	"102 N Denver Ave, Tulsa, OK 74103"	(918) 582-7201	"7 Days/Week, 24 Hours/Day, 365 Days/Year (Capacity Limits)"			"36.1561097,-95.9999317"		https://goo.gl/maps/jCjuKByAcPBBck2j8
John 3:16 Mission	"506 N Cheyenne Ave, Tulsa, OK 74103"	(918) 587-1186	"7 Days/Week, 24 Hours/Day, 365 Days/Year"			"36.1602597,-95.9980098"		https://g.page/john316missiontulsa?share
Tulsa County Emergency Shelter	"2401 Charles Page Blvd, Tulsa, OK 74127"	(918) 896-5591	"7 Days/Week, 24 Hours/Day, 365 Days/Year"			"36.1523814,-96.0282011"		https://goo.gl/maps/es1AkTfGF3F1ioY7A
Woodward Senior Center	"1420 Downs Ave, Woodward, OK 73801"	(580) 254-8566	MON-THUR 8:30am – 4:30pm; FRI 8:30am – 12pm		YES	"36.4197349,-99.3972763"		https://goo.gl/maps/Bt28xoVCUpXsBbBa9
Trinity Baptist Church	"620 N Cemetery Rd, Yukon, OK 73099"	(405) 354-4839	8:30am – 4:30pm			"35.4744319,-97.756455"		https://goo.gl/maps/Prmzx5g9ZHRZcG8M8
Lacy Park Community Center	"2134 N Madison Pl, Tulsa OK 74106"	(918) 596-1470	 8 a.m. - 8 p.m			"36.1854153,-95.9818728"		https://goo.gl/maps/5LKUTpVyJUFPTQQU7
Reed Park Community Center	"4233 South Yukon Avenue, Tulsa OK"	(918) 591-4307	8 a.m. - 8 p.m			"36.1017865,-96.0177549"		https://goo.gl/maps/8jxdFd8nZignkW8U9
SleepPros Mattress Store	"7143 S Mingo Rd, Tulsa, OK 74133"	(539) 367-2302				"36.0596524,-95.8707252"		https://goo.gl/maps/7pgnmDE95esufpwt9
Crosstown Church of Christ Shelter	"3400 E Admiral Pl, Tulsa, OK 74115"	(918) 834-1395				"36.1359553,-95.9980679"		https://goo.gl/maps/W93ejoJjBYfbPhGEA
Hutcherson Family YMCA	"1120 E Pine St, Tulsa, OK 74106"	(918) 382-9622				"36.1756942,-95.9798759"		https://goo.gl/maps/NpTYfwGwyLKvzJC18
